GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability
INDOFLOODS-gauge-781,197,198,Baranwada,26,76.6667,Ganga/Yamuna/ Chambal/Banas,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-01-1960,31-05-2011,17839,18748,Restricted,50524,46813.76563,7.343508768,Safe
INDOFLOODS-gauge-512,453,454,Mahidpur,23.4806,75.6364,Ganga/Yamuna/ Chambal/Shipra,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-01-1976,31-05-2011,8629,12935,Restricted,4430,4430.448242,0.01011833,Safe
INDOFLOODS-gauge-300,248.8,249.5,karnal,29.6956,77.1428,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Haryana,01-06-1975,29-02-2012,11193,11158,Restricted,13578,13419.17383,1.169731698,Safe
INDOFLOODS-gauge-979,107,108,Kalpi,26.2,79.7,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,01-01-1982,31-05-2011,10741,10743,Restricted,264251,244092.5469,7.628524812,Safe
INDOFLOODS-gauge-968,112,113,Auraiya,26.4272,79.4181,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,21-02-1976,31-05-2011,12623,12883,Restricted,261331,241018.4531,7.772727652,Safe
INDOFLOODS-gauge-967,121.66,122.66,Mohna,25.8071,79.4085,Ganga/Yamuna /Betwa,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,21-03-1984,31-05-2011,9841,9841,Restricted,41054,39285,4.308958932,Safe
INDOFLOODS-gauge-511,478.5,479.5,Dhareri,23.1333,75.5147,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-01-1976,31-05-2011,11284,12935,Restricted,1680,1667.049438,0.770866786,Safe
INDOFLOODS-gauge-817,308,309,aklera.,24.4297,76.6039,Ganga/Yamuna/ Chambal/ Kalisindh/Parwan,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-06-1975,31-05-2011,8138,13056,Restricted,6050,6076.570313,0.439178727,Safe
INDOFLOODS-gauge-789,164,165,Manderial,26.2725,77.2753,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-12-1982,31-05-2011,10401,10409,Restricted,136250,131439.9063,3.530344,Safe
INDOFLOODS-gauge-481,201,202,Khatoli,25.6833,76.4833,Ganga/Yamuna/,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-06-1971,31-05-2006,6208,6209,Restricted,15148,14985.61719,1.071975244,Safe
INDOFLOODS-gauge-506,203,204,Garrauli,24.6411,79.2833,Ganga/Yamuna/Betw/Dhasan,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-07-1982,31-05-2011,10555,10555,Restricted,840,1305.453735,55.41115893,Caution
INDOFLOODS-gauge-790,216,220,Mandawara,25.3853,76.1519,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,02-06-1981,31-05-2011,10945,10956,Restricted,29151,28369.94727,2.67933426,Safe
INDOFLOODS-gauge-303,383.5,384.5,paonta,30.4253,77.5919,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Himachal Pradesh,16-10-1978,29-02-2012,12151,12164,Restricted,10769,10798.81934,0.276899805,Safe
INDOFLOODS-gauge-775,406.9,407.9,Chittorgarh,24.8667,74.6356,Ganga/Yamuna/ Chambal/Banas/ Gambhiri,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-11-1976,31-05-2011,9083,11647,Restricted,1445,1411.671509,2.306469965,Safe
INDOFLOODS-gauge-551,441,443,Tal.,23.7233,75.3469,Ganga/Yamuna/ Chambal,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-01-1976,31-05-2011,10500,12931,Restricted,4270,4279.522949,0.223019883,Safe
INDOFLOODS-gauge-787,429.1,430.1,Bigod,25.2506,75.035,Ganga/Yamuna/ Chambal/Banas,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-11-1976,31-05-2011,10467,12537,Restricted,14338,13620.57129,5.003687474,Safe
INDOFLOODS-gauge-1059,85.65,85.95,Domohani ,26.5628,88.7583,Brahmaputra/ Teesta,Ganga - Brahmaputra -Meghna/Barak,West Bengal,01-06-2010,31-10-2020,1304,0,Open,9432,9526.455078,1.001432125,Safe
INDOFLOODS-gauge-1050,34.22,35.3,Tufanganj,26.3089,89.6756,"Brahmaputra/ Torsa/
Raidak-i",Ganga - Brahmaputra -Meghna/Barak,West Bengal,02-06-2012,31-10-2020,1023,0,Open,520,4924.346191,846.9896521,Caution
INDOFLOODS-gauge-1086,116.3,116.9,Hasimara,26.7292,89.3236,Brahmaputra/ Torsa,Ganga - Brahmaputra -Meghna/Barak,West Bengal,01-06-2010,31-10-2020,1289,0,Open,3920,3892.973877,0.689441913,Safe
INDOFLOODS-gauge-1018,65.45,65.95,Mekhliganj,26.3325,88.8636,Brahmaputra/ Teesta,Ganga - Brahmaputra -Meghna/Barak,West Bengal,18-07-2016,31-10-2020,562,0,Open,10205,9908.03418,2.910003136,Safe
INDOFLOODS-gauge-1013,47.7,48.2,Mathabhanga ,26.3253,89.2356,Brahmaputra/ Jaldhaka,Ganga - Brahmaputra -Meghna/Barak,West Bengal,01-06-2013,31-10-2020,1054,0,Open,3039,3542.106445,16.55499984,Safe
INDOFLOODS-gauge-1042,47.7,48.2,Mansai/Mathabhanga ,26.3253,89.2356,Brahmaputra/ Jaldhaka,Ganga - Brahmaputra -Meghna/Barak,West Bengal,01-06-2010,11-10-2011,263,0,Open,3039,3542.106445,16.55499984,Safe
INDOFLOODS-gauge-944,25,26,Khowai,24.0789,91.5919,Meghna/,Ganga - Brahmaputra - Meghna/Barak,Tripura,01-01-2018,27-05-2020,450,309,Open,1310,1246.797119,4.824647405,Safe
